Have,Generation,Allegiance,Year,Country/Region,Type,Name,Description,Repainted,Remolded
,Car Robots,C,2000,Japan,Spy Changer,Eagle Killer,Yellow/Orange Lamborghini Diablo ,Yes,No
,Car Robots,C,2000,Japan,Spy Changer,Eagle Killer (Translucent),,Yes,No
,Car Robots,C,2000,Japan,Spy Changer,Ox,Black/White/Red Pickup Truck ,Yes,No
,Car Robots,C,2000,Japan,Spy Changer,Ox (Translucent),,Yes,No
,Car Robots,C,2003,Japan,Spy Changer,Super Artfire,,Yes,No
,Car Robots,C,2003,Japan,Spy Changer,Super Artfire (Chase),,Yes,No
,Car Robots,C,2003,Japan,Spy Changer,Super Counter-Arrow,,Yes,No
,Car Robots,C,2003,Japan,Spy Changer,Super Counter-Arrow (Chase),,Yes,No
,Car Robots,C,2003,Japan,Spy Changer,Super Eaglekiller,,Yes,No
,Car Robots,C,2003,Japan,Spy Changer,Super Eaglekiller (Chase),,Yes,No
,Car Robots,C,2003,Japan,Spy Changer,Super Ox,,Yes,No
,Car Robots,C,2003,Japan,Spy Changer,Super Ox (Chase),,Yes,No
,Car Robots,C,2003,Japan,Spy Changer,Super Wars,,Yes,No
,Car Robots,C,2003,Japan,Spy Changer,Super Wars (Chase),,Yes,No
,Car Robots,C,2003,Japan,Spy Changer,Super X-Car,,Yes,No
,Car Robots,C,2003,Japan,Spy Changer,Super X-Car (Chase),,Yes,No
,Car Robots,C,2000,Japan,Spy Changer,Wars,Red/Yellow NSACAR Stock Car ,Yes,No
,Car Robots,C,2000,Japan,Spy Changer,Wars (Translucent),,Yes,No
,Car Robots,C,2000,Japan,Spy Changer,X-Car,Light Blue/Transparent Pontiac Firebird ,Yes,No
,Car Robots,C,2000,Japan,Spy Changer,X-Car (Translucent),,Yes,No
,Car Robots,C,2000,Japan,Trainbot,J-Five,Blue/White Series 500 Nozomi Bullet Train ,Yes,No
,Car Robots,C,2000,Japan,Trainbot,J-Four,Silver/Blue Series E-4 Max Bullet Train ,Yes,No
,Car Robots,C,2000,Japan,Trainbot,J-Seven,Grey/Black Series 700 Railstar Bullet Train ,Yes,No
,Car Robots,D,2000,Japan,Ultra,Black Convoy,Black/Grey Longnose Tractor Cab,Yes,No
,Car Robots,C,2000,Japan,Ultra,Black Fire Convoy,,Yes,No
,Car Robots,C,2000,Japan,Ultra,Clear Fire Convoy (Gold),,Yes,No
,Car Robots,C,2000,Japan,Ultra,Clear Fire Convoy (Silver),,Yes,No
,Car Robots,C,2000,Japan,Ultra,Dark Fire Convoy,,Yes,No
,Car Robots,D,2000,Japan,Ultra,Devil Gigatron,Cream/Red/Gold/Purple/Black Bat/Jet/Giant Hand/Dragon/Ground Car/Winged Beast/Two-Headed Dragon/Assault Base/Laser Cannon,Yes,No
,Car Robots,D,2000,Japan,Ultra,Gigatron,Red/Gold/Purple/Blue/Black Bat/Jet/Giant Hand/Dragon/Ground Car,Yes,No
,Car Robots,C,2000,Japan,Ultra,God Magnus,White/Blue/Grey/Red Tractor Cab/Car-Carrier Trailer,Yes,No
,Car Robots,C,2000,Japan,Ultra,God Magnus (Translucent),,Yes,No
,Car Robots,C,2000,Japan,Ultra,Super Fire Convoy,,No,No
,Classics,A,1990,Europe,Aerialbot,Air Raid,Black F-15 Eagle,No,No
,Classics,A,1990,Europe,Aerialbot,Fireflight,Red F-4 Phantom II,No,No
,Classics,A,1990,Europe,Aerialbot,Silverbolt,White Concorde SST Jet,No,No
,Classics,A,1990,Europe,Aerialbot,Skydive,Grey F-16 Fighting Falcon,No,No
,Classics,A,1990,Europe,Aerialbot,Slingshot,White Sea Harrier GR.3 Jet,No,No
,Classics,A,1990,Europe,Car,Inferno,Red Fire Engine,No,No
,Classics,A,1990,Europe,Car,Ironhide,Red Nissan Onebox Van,No,No
,Classics,A,1990,Europe,Car,Jazz,White Porsche 935 Turbo,No,No
,Classics,A,1990,Europe,Car,Prowl,White Datsun 280ZX Police Cruiser,No,No
,Classics,A,1991,Europe,Car,Sideswipe,Red Lamborghini Countach LP500S,No,No
,Classics,A,1990,Europe,Car,Sunstreaker,"Yellow Lamborghini Countach LP500S (""Super Tuning"", With Exposed Rear Engine)",No,No
,Classics,A,1991,Europe,Car,Tracks,Blue Corvette Stingray,No,No
,Classics,A,1990,Europe,Car,Wheeljack,White Lancia Stratos Turbo Racing Car,No,No
,Classics,D,2007,USA,Cassette,Laserbeak,,No,No
,Classics,D,2007,USA,Cassette,Ravage,,No,No
,Classics,D,1991,Europe,Combaticon,Blast Off,Black/Brown Space Shuttle,No,No
,Classics,D,1991,Europe,Combaticon,Brawl,Green Leopard 1 Tank,No,No
,Classics,D,1991,Europe,Combaticon,Onslaught,Green Flatbed Truck With Cannon,No,No
,Classics,D,1991,Europe,Combaticon,Swindle,Brown Jeep,No,No
,Classics,D,1991,Europe,Combaticon,Vortex,Grey Kaman Sea Sprite SH-2 Helicopter,No,No
,Classics,D,2007,USA,Communicator,Soundwave,,Yes,No
,Classics,D,2006,USA,Deluxe,Astrotrain,,No,No
,Classics,A,2006,USA,Deluxe,Bumblebee,,No,No
,Classics,A,2006,USA,Deluxe,Grimlock,,No,No
,Classics,D,2006,USA,Deluxe,Megatron,,No,No
,Classics,A,2006,USA,Deluxe,Mirage,,No,No
,Classics,A,2006,USA,Deluxe,Optimus Prime,,No,No
,Classics,A,2006,USA,Deluxe,Rodimus,,No,No
,Classics,D,2007,USA,Deluxe,Skywarp,,Yes,No
,Classics,D,2006,USA,Deluxe,Starscream,,No,No
,Classics,A,1991,Europe,Dinobot,Grimlock,Silver/Grey Tyrannosaurus Rex,No,No
,Classics,A,1991,Europe,Dinobot,Slag,Silver/Grey Triceratops,No,No
,Classics,A,1991,Europe,Dinobot,Sludge,Silver/Grey Apatosaurus,No,No
,Classics,A,1991,Europe,Dinobot,Snarl,Silver/Grey Stegosaurus,No,No
,Classics,A,1991,Europe,Dinobot,Swoop,Silver/Grey Pteranadon,No,No
,Classics,A,1990,Europe,Leader,Optimus Prime,Red Freightliner COE Dual-Axle Tractor Truck,No,No
,Classics,A,2006,USA,Minicon,Knockdown,,No,No
,Classics,A,2006,USA,Minicon,Nightscream,,No,No
,Classics,D,2006,USA,Minicon,Offshoot,,No,No
,Classics,A,2006,USA,Minicon,Strongarm,,No,No
,Classics,A,2007,USA,Minicon Clear Skies Team,Nightscream,,No,No
,Classics,A,2007,USA,Minicon Clear Skies Team,Steel Wind,,No,No
,Classics,A,2007,USA,Minicon Clear Skies Team,Thunderwing,,No,No
,Classics,D,2006,USA,Minicon Demolition Team,Broadside,,No,No
,Classics,D,2006,USA,Minicon Demolition Team,Sledge,,No,No
,Classics,D,2006,USA,Minicon Demolition Team,Wideload,,No,No
,Classics,A,2006,USA,Minicon Dinobots Team,Knockdown,,No,No
,Classics,A,2006,USA,Minicon Dinobots Team,Swoop,,No,No
,Classics,A,2006,USA,Minicon Dinobots Team,Terrorsaur,,No,No
,Classics,D,2007,USA,Minicon Dirt Digger Team,Dirt Rocket,,No,No
,Classics,D,2007,USA,Minicon Dirt Digger Team,Grindor,,No,No
,Classics,D,2007,USA,Minicon Dirt Digger Team,Poil Slick,,No,No
,Classics,A,2006,USA,Minicon Night Rescue Team,Divebomb,,No,No
,Classics,A,2006,USA,Minicon Night Rescue Team,Firebot,,No,No
,Classics,A,2006,USA,Minicon Night Rescue Team,Strongarm,,No,No
,Classics,D,2007,USA,Minicon Predator Attack Team,Dreadwind,,No,No
,Classics,D,2007,USA,Minicon Predator Attack Team,Overbite,,No,No
,Classics,D,2007,USA,Minicon Predator Attack Team,Snarl,,No,No
,Classics,A,1991,Europe,Protectobot,Blades,White Super Huey Helicopter,No,No
,Classics,A,1991,Europe,Protectobot,First Aid,"White Toyota ""Window Van"" Ambulance",No,No
,Classics,A,1991,Europe,Protectobot,Groove,White Honda Goldwing Motorcycle,No,No
,Classics,A,1991,Europe,Protectobot,Hot Spot,Blue Fire Engine,No,No
,Classics,A,1991,Europe,Protectobot,Streetwise,White Nissan 300 ZX Police Car,No,No
,Classics,D,1990,Europe,Stunticon,Breakdown,White Lamborghini Countach,No,No
,Classics,D,1990,Europe,Stunticon,Dead End,Red Porsche 928,No,No
,Classics,D,1990,Europe,Stunticon,Drag Strip,Yellow Tyrrell P34 Six-Wheeler F-1 Racer,No,No
,Classics,D,1990,Europe,Stunticon,Motormaster,Grey Tractor Trailer,No,No
,Classics,D,1990,Europe,Stunticon,Wildrider,Grey Ferrari 308GTB,No,No
,Classics,A,1991,Europe,Throttlebot,Chase,Red Ferrari,No,No
,Classics,A,1991,Europe,Throttlebot,Freeway,Blue Corvette,No,No
,Classics,A,1991,Europe,Throttlebot,Goldbug,Gold Volkeswagen Beetle,No,No
,Classics,A,1991,Europe,Throttlebot,Rollbar,Green Jeep CR-1,No,No
,Classics,A,1991,Europe,Throttlebot,Searchlight,White Ford RS200,No,No
,Classics,A,1991,Europe,Throttlebot,Wideload,Orange dump truck,No,No
,Classics,D,1991,Europe,Triple Changer,Astrotrain,Purple/Black/White Space Shuttle/D62 Steam Locomotive,No,No
,Classics,D,1991,Europe,Triplechanger,Octane,White Tanker Truck/Jumbo Jet,No,No
,Classics,A,1991,Europe,Triplechanger,Sandstorm,Orange Dune Buggy/Helicopter,No,No
,Classics,A,1991,Europe,Triplechanger,Springer,Green Helicopter/Futuristic Car,No,No
,Classics,A,2006,USA,Ultra,Optimus Prime,Red/Blue Tractor Cab,Yes,No
,Classics,A,2006,USA,Voyager,Jetfire,,No,No
,Classics,D,2006,USA,Voyager,Megatron,,No,No
,Classics,A,2006,USA,Voyager,Optimus Prime,,No,No
,Classics,A,2007,USA,Voyager,Ultra Magnus,,Yes,No
,Cybertron,A,2005,USA,Burger King,Jetfire,,No,No
,Cybertron,A,2005,USA,Burger King,Megatron,,No,No
,Cybertron,A,2005,USA,Burger King,Optimus Prime,,No,No
,Cybertron,A,2005,USA,Burger King,Red Alert,,No,No
,Cybertron,A,2005,USA,Deluxe,Blurr,,Yes,Yes
,Cybertron,D,2005,USA,Deluxe,Brimstone,,No,No
,Cybertron,D,2006,USA,Deluxe,Brimstone,,No,No
,Cybertron,D,2005,USA,Deluxe,Buzzsaw,,Yes,Yes
,Cybertron,D,2006,USA,Deluxe,Cannonball,,Yes,No
,Cybertron,D,2006,USA,Deluxe,Cannonball,,Yes,No
,Cybertron,A,2005,USA,Deluxe,Crosswise,,No,No
,Cybertron,A,2006,USA,Deluxe,Crosswise (Ground to Air Blast Pack),,No,No
,Cybertron,D,2006,USA,Deluxe,Demolishor,,Yes,No
,Cybertron,P,2006,USA,Deluxe,Dinobot,,Yes,Yes
,Cybertron,D,2005,USA,Deluxe,Dirt Boss,,No,No
,Cybertron,D,2005,USA,Deluxe,Dirt Boss (Tiny Tins),,No,No
,Cybertron,A,2005,USA,Deluxe,Downshift,,No,No
,Cybertron,A,2006,USA,Deluxe,Downshift,,No,No
,Cybertron,A,2006,USA,Deluxe,Excellion,,Yes,No
,Cybertron,A,2006,USA,Deluxe,Excellion,,Yes,No
,Cybertron,A,2005,USA,Deluxe,Hot Shot,,No,No
,Cybertron,A,2005,USA,Deluxe,Hot Shot (Cybertron Defense),,No,No
,Cybertron,A,2006,USA,Deluxe,Hot Shot (Drag Race Pack),,No,No
,Cybertron,A,2005,USA,Deluxe,Hot Shot (Tiny Tins),,No,No
,Cybertron,A,2005,USA,Deluxe,Landmine,,No,No
,Cybertron,A,2005,USA,Deluxe,Landmine (Tiny Tins),,No,No
,Cybertron,A,2005,USA,Deluxe,Longrack,,Yes,Yes
,Cybertron,D,2006,USA,Deluxe,Megatron,,Yes,No
,Cybertron,A,2006,USA,Deluxe,Optimus Prime,,Yes,No
,Cybertron,A,2006,USA,Deluxe,Optimus Prime (Gorilla),,Yes,No
,Cybertron,A,2005,USA,Deluxe,Override,,No,No
,Cybertron,A,2006,USA,Deluxe,Override (Drag Race Pack),,No,No
,Cybertron,A,2005,USA,Deluxe,Override (Tiny Tins),,No,No
,Cybertron,A,2006,USA,Deluxe,Override GTS,,Yes,No
,Cybertron,A,2006,USA,Deluxe,Override GTS,,Yes,No
,Cybertron,A,2005,USA,Deluxe,Red Alert,,No,No
,Cybertron,A,2006,USA,Deluxe,Red Alert (Critical Path Pack),,No,No
,Cybertron,A,2005,USA,Deluxe,Red Alert (Tiny Tins),,No,No
,Cybertron,M,2006,USA,Deluxe,Rhinox,,Yes,No
,Cybertron,D,2005,USA,Deluxe,Runamuck,,Yes,Yes
,Cybertron,D,2005,USA,Deluxe,Sideways,,No,No
,Cybertron,D,2006,USA,Deluxe,Sideways (Critical Path Pack),,No,No
,Cybertron,D,2006,USA,Deluxe,Skywarp,,Yes,No
,Cybertron,D,2006,USA,Deluxe,Skywarp,,Yes,No
,Cybertron,A,2006,USA,Deluxe,Smokescreen,,Yes,No
,Cybertron,A,2005,USA,Deluxe,Snarl,,No,No
,Cybertron,D,2005,USA,Deluxe,Thunderblast,,No,No
,Cybertron,D,2005,USA,Deluxe,Thundercracker,,No,No
,Cybertron,D,2006,USA,Deluxe,Thundercracker (Ground to Air Blast Pack),,No,No
,Cybertron,D,2005,USA,Deluxe,Thundercracker (Tiny Tins),,No,No
,Cybertron,D,2006,USA,Deluxe,Unicron,,No,No
,Cybertron,D,2005,USA,Leader,Galvatron,,Yes,No
,Cybertron,D,2005,USA,Leader,Megatron,,No,No
,Cybertron,A,2006,USA,Leader,Metroplex,,No,No
,Cybertron,A,2005,USA,Leader,Optimus Prime,,No,No
,Cybertron,A,2006,USA,Leader,Optimus Prime (Galaxy Force),,Yes,No
,Cybertron,A,2005,USA,Legends Of Cybertron,Evac,,No,No
,Cybertron,D,2005,USA,Legends Of Cybertron,Galvatron,,Yes,No
,Cybertron,A,2005,USA,Legends Of Cybertron,Hot Shot,,No,No
,Cybertron,A,2006,USA,Legends Of Cybertron,Hot Shot (Excellion),,Yes,No
,Cybertron,A,2005,USA,Legends Of Cybertron,Jetfire,,No,No
,Cybertron,A,2005,USA,Legends Of Cybertron,Leobreaker,,No,No
,Cybertron,D,2005,USA,Legends Of Cybertron,Megatron,,No,No
,Cybertron,A,2005,USA,Legends Of Cybertron,Optimus Prime,,No,No
,Cybertron,A,2006,USA,Legends Of Cybertron,Optimus Prime (Galaxy Force),,Yes,No
,Cybertron,D,2005,USA,Legends Of Cybertron,Ramjet,,Yes,No
,Cybertron,A,2005,USA,Legends Of Cybertron,Red Alert (Cybertron Defense),,No,No
,Cybertron,D,2005,USA,Legends Of Cybertron,Scourge,,No,No
,Cybertron,D,2004,USA,Legends Of Cybertron,Skywarp,,Yes,No
,Cybertron,D,2005,USA,Legends Of Cybertron,Soundwave,,No,No
,Cybertron,D,2005,USA,Legends Of Cybertron,Starscream,,No,No
,Cybertron,D,2006,USA,Legends Of Cybertron,Sunstorm,,Yes,No
,Cybertron,D,2006,USA,Legends Of Cybertron,Thundercracker,,No,No
,Cybertron,A,2005,USA,Legends Of Cybertron,Vector Prime,,No,No
,Cybertron,A,2005,USA,Minicon,Anti-Blaze,,Yes,No
,Cybertron,A,2005,USA,Minicon,Ascentor,,Yes,No
,Cybertron,D,2006,USA,Minicon,Backblast,,Yes,No
,Cybertron,D,2006,USA,Minicon,Blastcharge,,Yes,No
,Cybertron,A,2005,USA,Minicon,Checkpoint,,Yes,No
,Cybertron,A,2006,USA,Minicon,Drillbit,,No,No
,Cybertron,A,2006,USA,Minicon,Grindor,,Yes,Yes
,Cybertron,A,2006,USA,Minicon,High Wire,,Yes,Yes
,Cybertron,D,2005,USA,Minicon,Kobushi,Black/Green Dune Buggy,Yes,No
,Cybertron,A,2005,USA,Minicon,Landslide,,Yes,No
,Cybertron,A,2005,USA,Minicon,Monocle,,Yes,No
,Cybertron,D,2005,USA,Minicon,Payload,Blue Pickup Truck,Yes,No
,Cybertron,D,2005,USA,Minicon,Ramjet,White/Grey/Red Jet,Yes,Yes
,Cybertron,D,2005,USA,Minicon,Razorclaw,,Yes,No
,Cybertron,D,2005,USA,Minicon,Scattorbrain,Grey/Green Snow Cat,Yes,No
,Cybertron,D,2006,USA,Minicon,Scrap Iron,,Yes,No
,Cybertron,A,2005,USA,Minicon,Scythe,,Yes,No
,Cybertron,D,2005,USA,Minicon,Shockwave,,Yes,No
,Cybertron,D,2005,USA,Minicon,Sky Lynx,,Yes,No
,Cybertron,A,2005,USA,Minicon,Steamhammer,,Yes,No
,Cybertron,D,2005,USA,Minicon,Sunstorm,,Yes,Yes
,Cybertron,A,2006,USA,Minicon,Sureshock,,Yes,Yes
,Cybertron,A,2005,USA,Minicon,Tankor,,Yes,No
,Cybertron,D,2005,USA,Minicon,Thrust,Red/Black/Silver Jet,Yes,Yes
,Cybertron,A,2005,USA,Minicon,Thunderblast,,Yes,No
,Cybertron,D,2006,USA,Minicon Giant Planet Team,Deepdive,,No,No
,Cybertron,D,2006,USA,Minicon Giant Planet Team,Longarm,,No,No
,Cybertron,D,2006,USA,Minicon Giant Planet Team,Overcast,,No,No
,Cybertron,D,2006,USA,Minicon Partner,Heavy Load,,No,No
,Cybertron,D,2006,USA,Minicon Partner,Laserbeak,,No,No
,Cybertron,A,2005,USA,Minicon Partner,Safeguard,,No,No
,Cybertron,A,2006,USA,Minicon Partner,Safeguard (Galaxy Force),,Yes,No
,Cybertron,A,2006,USA,Minicon Partner,Stripmine,,No,No
,Cybertron,A,2005,USA,Minicon Race Team,Dirt Boss (Tiny Tins),,Yes,No
,Cybertron,A,2005,USA,Minicon Race Team,Downshift (Tiny Tins),,Yes,No
,Cybertron,A,2005,USA,Minicon Race Team,Mirage (Tiny Tins),,Yes,No
,Cybertron,A,2005,USA,Minicon Recon Team,Jolt,,No,No
,Cybertron,A,2005,USA,Minicon Recon Team,Reverb,,No,No
,Cybertron,A,2005,USA,Minicon Recon Team,Six-Speed,,No,No
,Cybertron,A,2005,USA,Minicon Road Assault Team,Dirt Boss (Tiny Tins),,Yes,No
,Cybertron,A,2005,USA,Minicon Road Assault Team,Downshift (Tiny Tins),,Yes,No
,Cybertron,A,2005,USA,Minicon Road Assault Team,Mirage (Tiny Tins),,Yes,No
,Cybertron,A,2006,USA,Minicon Shadow Recon Team,Jolt,,Yes,No
,Cybertron,A,2006,USA,Minicon Shadow Recon Team,Reverb,,Yes,No
,Cybertron,A,2006,USA,Minicon Shadow Recon Team,Six-Speed,,Yes,No
,Cybertron,A,2005,USA,Minicon Street Speed Team,Backtrack,,Yes,Yes
,Cybertron,A,2006,USA,Minicon Street Speed Team,Backtrack,,Yes,Yes
,Cybertron,A,2005,USA,Minicon Street Speed Team,Oval,,Yes,Yes
,Cybertron,A,2006,USA,Minicon Street Speed Team,Oval,,Yes,Yes
,Cybertron,A,2005,USA,Minicon Street Speed Team,Spiral,,Yes,Yes
,Cybertron,A,2006,USA,Minicon Street Speed Team,Spiral,,Yes,Yes
,Cybertron,A,2005,USA,Scout,Armorhide,,No,No
,Cybertron,A,2005,USA,Scout,Backstop,,No,No
,Cybertron,A,2006,USA,Scout,Backstop,,No,No
,Cybertron,A,2005,USA,Scout,Brakedown,,No,No
,Cybertron,A,2006,USA,Scout,Brakedown GTS,,Yes,No
,Cybertron,D,2005,USA,Scout,Brushguard,,Yes,Yes
,Cybertron,M,2006,USA,Scout,Cheetor,,Yes,Yes
,Cybertron,A,2005,USA,Scout,Clocker,,No,No
,Cybertron,D,2005,Japan,Scout,Hardtop,,No,No
,Cybertron,D,2005,USA,Scout,Hardtop,,No,No
,Cybertron,A,2006,USA,Scout,Hightail,,Yes,No
,Cybertron,D,2005,USA,Scout,Lugnutz,,No,No
,Cybertron,D,2006,USA,Scout,Lugnutz,,No,No
,Cybertron,A,2005,USA,Scout,Overhaul,,No,No
,Cybertron,D,2005,USA,Scout,Ransack,,No,No
,Cybertron,D,2006,USA,Scout,Ransack GTS,,Yes,No
,Cybertron,D,2006,USA,Scout,Ransack GTS,,Yes,No
,Cybertron,A,2006,USA,Scout,Repugnus,,Yes,No
,Cybertron,A,2005,USA,Scout,Scattorshot,,No,No
,Cybertron,D,2006,USA,Scout,Scrapmetal (Red),,No,No
,Cybertron,D,2006,USA,Scout,Scrapmetal (Red),,No,No
,Cybertron,D,2006,USA,Scout,Scrapmetal (Yellow),,Yes,No
,Cybertron,D,2006,USA,Scout,Shortround,,No,No
,Cybertron,A,2005,USA,Scout,Swerve,,Yes,No
,Cybertron,A,2006,USA,Scout,Swerve,,Yes,No
,Cybertron,A,2005,USA,Scout,Swindle,,Yes,No
,Cybertron,A,2006,USA,Scout,Swindle,,Yes,No
,Cybertron,M,2006,USA,Scout,Tigatron,,Yes,Yes
,Cybertron,D,2005,USA,Scout,Undermine,,No,No
,Cybertron,A,2005,USA,Scout,Wreckloose,,No,No
,Cybertron,A,2006,USA,Scout,Wreckloose,,No,No
,Cybertron,A,2006,USA,Supreme,Primus,,No,No
,Cybertron,D,2005,Japan,Supreme,Starscream,,No,No
,Cybertron,D,2005,USA,Supreme,Starscream,,No,No
,Cybertron,D,2006,USA,Ultra,Cryo Scourge,,Yes,No
,Cybertron,D,2005,USA,Ultra,Dark Scorponok,,Yes,Yes
,Cybertron,A,2005,USA,Ultra,Jetfire,,No,No
,Cybertron,P,2006,USA,Ultra,Megatron,,Yes,Yes
,Cybertron,D,2006,USA,Ultra,Menasor,,No,No
,Cybertron,A,2005,USA,Ultra,Optimus Prime,,Yes,No
,Cybertron,A,2005,USA,Ultra,Red Alert (Cybertron Defense),,No,No
,Cybertron,D,2005,USA,Ultra,Scourge,,No,No
,Cybertron,D,2006,USA,Ultra,Sky Shadow,,Yes,No
,Cybertron,A,2005,USA,Ultra,Ultra Magnus,,Yes,No
,Cybertron,A,2006,USA,Ultra,Wing Saber,,No,No
,Cybertron,D,2005,USA,Voyager,Crumplezone,,No,No
,Cybertron,D,2005,USA,Voyager,Dark Crumplezone,,Yes,Yes
,Cybertron,A,2005,USA,Voyager,Evac,,No,No
,Cybertron,A,2005,USA,Voyager,Leobreaker,,No,No
,Cybertron,D,2005,USA,Voyager,Mudflap,,No,No
,Cybertron,D,2006,USA,Voyager,Nemesis Breaker,,Yes,No
,Cybertron,M,2006,USA,Voyager,Optimus Primal,,Yes,Yes
,Cybertron,A,2006,USA,Voyager,Quickmix,,No,No
,Cybertron,A,2005,USA,Voyager,Scattorshot (Cybertron Defense),,No,No
,Cybertron,D,2006,USA,Voyager,Soundwave,,No,No
,Cybertron,D,2005,USA,Voyager,Starscream,,No,No
,Cybertron,A,2005,USA,Voyager,Vector Prime,,No,No
,Cybertron,A,2006,USA,Voyager,Vector Prime (Galaxy Force),,No,No
,Energon,D,2005,USA,Combiner Bruticus Maximus,Barricade,,No,No
,Energon,D,2004,USA,Combiner Bruticus Maximus,Blackout,,Yes,No
,Energon,D,2005,USA,Combiner Bruticus Maximus,Blight,,Yes,No
,Energon,D,2004,USA,Combiner Bruticus Maximus,Kickback,,No,No
,Energon,D,2004,USA,Combiner Bruticus Maximus,Storm Cloud,,No,No
,Energon,D,2005,USA,Combiner Constructicon Maximus,Bonecrusher,,Yes,No
,Energon,D,2004,USA,Combiner Constructicon Maximus,Duststorm,,No,No
,Energon,D,2004,USA,Combiner Constructicon Maximus,Sledge,,No,No
,Energon,D,2004,USA,Combiner Constructicon Maximus,Steamhammer,,No,No
,Energon,D,2005,USA,Combiner Constructicon Maximus,Wideload,,Yes,No
,Energon,A,2004,USA,Combiner Mega Dinobot,Grimlock,,No,No
,Energon,A,2004,USA,Combiner Mega Dinobot,Swoop,,No,No
,Energon,A,2004,USA,Combiner Superion Maximus,Sky Shadow,,No,No
,Energon,A,2004,USA,Combiner Superion Maximus,Storm Jet,,No,No
,Energon,A,2004,USA,Combiner Superion Maximus,Terradrive,,Yes,No
,Energon,A,2004,USA,Combiner Superion Maximus,Treadshot,,No,No
,Energon,A,2004,USA,Combiner Superion Maximus,Windrazor,,Yes,No
,Energon,D,2006,USA,Combiner TFCC,Landquake,,Yes,No
,Energon,A,2005,USA,Combiner TFCC,Skyfall,,Yes,No
,Energon,A,2004,USA,Deluxe,Checkpoint,,No,No
,Energon,D,2004,USA,Deluxe,Cyclonus,,Yes,No
,Energon,D,2004,USA,Deluxe,Demolishor,,Yes,No
,Energon,D,2004,USA,Deluxe,Demolishor,,No,No
,Energon,A,2004,USA,Deluxe,Downshift,,No,No
,Energon,A,2004,USA,Deluxe,High Wire,,No,No
,Energon,A,2003,USA,Deluxe,Hot Shot,Yellow/Bronze/Black/Blue 2003 Aston-Martin Vantage,No,No
,Energon,A,2004,USA,Deluxe,Hot Shot (Energon),Yellow/Grey/Black/Red Sports Car,Yes,No
,Energon,A,2003,USA,Deluxe,Inferno,Red/Grey/Blue Fire Engine,No,No
,Energon,A,2005,USA,Deluxe,Ironhide,,Yes,Yes
,Energon,A,2004,USA,Deluxe,Optimus Prime,,No,No
,Energon,A,2004,USA,Deluxe,Prowl,,No,No
,Energon,A,2004,USA,Deluxe,Prowl (Police),,Yes,No
,Energon,A,2003,USA,Deluxe,Rapid Run,Yellow/Black/Olive Motorcycle,Yes,No
,Energon,A,2005,USA,Deluxe,Ratchet,,Yes,Yes
,Energon,A,2005,USA,Deluxe,Roadblock,,Yes,Yes
,Energon,A,2004,USA,Deluxe,Rodimus,,No,No
,Energon,D,2004,Japan,Deluxe,Sharkticon,,No,No
,Energon,D,2004,USA,Deluxe,Sharkticon,,No,No
,Energon,D,2004,USA,Deluxe,Slugslinger,,No,No
,Energon,D,2004,USA,Deluxe,Snow Cat,,No,No
,Energon,D,2003,USA,Deluxe,Starscream,Grey/Dark Red/Green F-22 Raptor,Yes,Yes
,Energon,D,2005,USA,Deluxe,Starscream (Energon),,Yes,Yes
,Energon,D,2004,Japan,Deluxe,Stormjet,,No,No
,Energon,C,2004,Japan,Deluxe,Tow-Line,,No,No
,Energon,A,2004,USA,Deluxe,Tow-Line,,No,No
,Energon,D,2005,Brazil,Mcdonald's,Demolishor,,No,No
,Energon,D,2005,Honduras,Mcdonald's,Demolishor,,No,No
,Energon,D,2005,Mexico,Mcdonald's,Demolishor,,No,No
,Energon,D,2005,Venezuela,Mcdonald's,Demolishor,,No,No
,Energon,A,2005,Brazil,Mcdonald's,Inferno,,No,No
,Energon,A,2005,Honduras,Mcdonald's,Inferno,,No,No
,Energon,A,2005,Mexico,Mcdonald's,Inferno,,No,No
,Energon,A,2005,Venezuela,Mcdonald's,Inferno,,No,No
,Energon,A,2005,Australia,Mcdonald's,Ironhide,,No,No
,Energon,A,2005,Netherlands,Mcdonald's,Ironhide,,No,No
,Energon,A,2005,New Zealand,Mcdonald's,Ironhide,,No,No
,Energon,A,2005,UK,Mcdonald's,Ironhide,,No,No
,Energon,D,2005,Australia,Mcdonald's,Megatron,,No,No
,Energon,D,2005,Brazil,Mcdonald's,Megatron,,No,No
,Energon,D,2005,Honduras,Mcdonald's,Megatron,,No,No
,Energon,D,2005,Mexico,Mcdonald's,Megatron,,No,No
,Energon,D,2005,Netherlands,Mcdonald's,Megatron,,No,No
,Energon,D,2005,New Zealand,Mcdonald's,Megatron,,No,No
,Energon,D,2005,UK,Mcdonald's,Megatron,,No,No
,Energon,D,2005,Venezuela,Mcdonald's,Megatron,,No,No
,Energon,A,2005,Australia,Mcdonald's,Optimus Prime,,No,No
,Energon,A,2005,Brazil,Mcdonald's,Optimus Prime,,No,No
,Energon,A,2005,Honduras,Mcdonald's,Optimus Prime,,No,No
,Energon,A,2005,Mexico,Mcdonald's,Optimus Prime,,No,No
,Energon,A,2005,Netherlands,Mcdonald's,Optimus Prime,,No,No
,Energon,A,2005,New Zealand,Mcdonald's,Optimus Prime,,No,No
,Energon,A,2005,UK,Mcdonald's,Optimus Prime,,No,No
,Energon,A,2005,Venezuela,Mcdonald's,Optimus Prime,,No,No
